zone,stat
11,269.3640689423729
12,460.0060254929447
21,305.72312495267585
22,303.77773362097844
23,348.57750080746547
24,276.81762386283447
31,841.859096208004
41,427.1668225773035
42,967.1016499743902
43,249.97393997081375
52,635.0608480472043
71,552.3152464691042
81,270.59309056680524
82,353.8002854640486
90,191.17175813500378
95,554.2786033037331
