B1,B2,B3,B4,B5,B6_VCID_2,B7,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
31.388169167078566,21.705125925810144,15.932165541009168,21.327082791995295,14.938833523167963,195.7133471004144,9.025148041707611,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
28.235328411284627,17.01890073848614,11.455564308381224,15.965256547704742,8.924913870109062,195.31572674135268,5.052182240387562,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
28.668204479499995,20.113093390056232,14.315281566003236,33.956516161147086,19.11998275733778,195.47952562151877,9.265647331107875,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
28.64707489669709,18.090195564527384,12.326403720577487,20.62837721034757,9.69275401919398,195.2228917006363,5.489100916203357,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
28.336682152098938,22.331603446126575,16.05644311118563,50.43524542422134,28.27305808810251,196.52622744349594,12.979381861518752,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
26.69399546648013,20.36560750264577,14.392752959787895,48.919237431200706,26.154327900189383,190.41979441695952,11.823345796240629,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
24.182084395773185,19.8976176761894,14.210275403141765,66.18135643422947,32.33201649328116,188.58343834804958,13.340159172807168,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
24.75383310547256,20.574504934369727,14.48884745120142,71.92734030819557,34.63732393569704,188.67095123356958,14.045807934622177,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
26.434409608899447,21.10962559966812,16.415626302794177,56.39692180233834,32.88539086172954,189.8283761993873,14.392366182495094,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
24.39928423248698,19.50060205897969,13.340002939076497,61.64371448678641,28.630825763053227,188.70060633509507,11.798983880550622,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
26.41832997205947,20.47409764489072,14.929372758346306,50.05370138476254,26.97260433383812,188.94810134344286,12.135537253495787,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
28.29222366856234,23.16324935116904,18.60744206731665,52.24756084252754,33.72773803473273,192.7382934297721,16.5383662521194,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
26.60722613231254,22.13123159895002,17.298735344173902,68.48721887113588,40.73271333785193,192.07988980428922,17.961563452962668,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
25.978804026236226,21.007124247315986,15.371373685402197,63.64590986796807,34.395695122958976,191.02743345534935,14.751453412057616,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
27.84602729456852,23.865799266427754,21.32630188640153,59.74741639381746,47.67350443259399,194.80038770936585,25.23742246795877,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
26.618537978538566,21.544948780048184,17.098900566728034,55.45378887539728,35.668268427540255,189.530465412883,16.58985745303902,01779806,55,29344951758,00,WI,55,A,+44.6309071,3,2,Wisconsin,-089.7093916,G4000,140290039723,0000000000000000000f
27.74523294039996,23.756297115569865,19.13541686306313,67.30182392247612,42.574495405953364,194.73679626120327,20.283192153052234,01085497,39,10268850702,00,OH,39,A,+40.4149297,3,2,Ohio,-082.7119975,G4000,105828882568,00000000000000000018
25.859335261387802,19.40750263554147,13.80426870668907,42.206897439596816,24.870509790841062,188.71715658481696,11.619823208311399,01779789,26,103885855702,00,MI,26,A,+44.8441768,3,2,Michigan,-085.6604907,G4000,146600952990,0000000000000000002a
27.27158802237128,23.668760609913317,19.288910896581047,72.91161124019656,47.14542094185042,195.87606251974813,22.695020449014528,00448508,18,1538002829,00,IN,18,A,+39.9013136,3,2,Indiana,-086.2919129,G4000,92789302676,00000000000000000030
26.798008165854373,22.3228003835677,18.351796798196887,57.66580082324486,39.857431782435256,192.491461501265,19.80577588604079,00662849,27,18945217189,00,MN,27,A,+46.3159573,4,2,Minnesota,-094.1996043,G4000,206228939448,00000000000000000003
29.61813917955195,27.902665139025075,28.18608361143022,63.42175272746048,64.60375692867541,201.81695600051475,38.22674205780047,01779792,31,1371829134,00,NE,31,A,+41.5433053,4,2,Nebraska,-099.8118646,G4000,198956658395,00000000000000000011
28.894316400413455,26.348813904297156,25.466745631912357,60.61915838491734,51.764412248890004,197.68068482828565,28.9561367900458,01779797,38,4403267548,00,ND,38,A,+47.4421740,4,2,North Dakota,-100.4608258,G4000,178707534813,00000000000000000020
