Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
0.020511154158595266,0.018071611572830094,0.004471661563456852,0.007628569643191902,0.214737236768106,0.0036693120039992502,0.0064237955383365615,0.025595200899831284,0.026317565456476913,0.09920139973754921,0.3292982565768918,0.03563581828407174,4000.75,0.0,0.08717365493969881,0.03526088858339061,0.0860038742735737,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
0.029784216809804955,0.005341617830886072,0.002905162848108505,0.004110588626875915,0.21760929255671263,0.013929502207469508,0.002969584369687031,0.17991650805620035,0.021739785781922413,0.3699996407261296,0.042980717730082905,0.021024541709012114,24215.510000000002,0.0,0.016984568980789583,0.004434761027126828,0.06626951073919153,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
0.12621634851102842,0.0019166034558291772,0.017520076551703925,0.004507812779203508,0.3834600294015724,0.005779123598636814,0.0012403913838374876,0.125696741372574,0.015595040522530433,0.21535989219155757,0.04050405907941196,0.008857815971534845,24903.429999999997,0.0,0.008011346228210332,0.001754376806729033,0.04358034214564018,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
0.03231782655268623,0.0038166822444877496,0.015312696318851763,0.005893570283367762,0.4450759923722073,0.0018992869490361483,0.0018031734180618219,0.009749255120134947,0.06557171532007895,0.09233376189753183,0.12808451304567064,0.056993930918051376,14358.02,0.0,0.05654122225766506,0.014750641105110592,0.0698557321970578,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
0.024485683007007798,0.013425615339793594,0.011627908245780782,0.008406507062319381,0.14016341978195923,0.01757708329445322,0.0011889400851247919,0.19677471353408668,0.009500279554803379,0.32105365804254005,0.12961367741656651,0.007045239421254435,91627.83000000003,0.0,0.004163254766592201,0.0013035340900248314,0.11367048635769281,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
0.027129254438519306,0.0064675697677609376,0.010013262963403368,0.012468649098575833,0.1682837725356042,0.004528798924327933,0.005537881767541413,0.0642728694649995,0.03468017964455258,0.17080172327055532,0.2604641122504047,0.05411215893603593,27331.75,0.0,0.06809223705031693,0.023024870343099142,0.09012265954430287,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
0.03827094424444111,0.004534490947617422,0.08781614507183963,0.041137978397869264,0.18223970388587812,0.0026868762253063018,0.004177716279150061,0.034078177917241555,0.08893560305763859,0.038377179877731635,0.15328164084476803,0.08243619554261841,22591.29,0.0,0.055843203287638726,0.026936044820813684,0.15924809959944738,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
0.13539816108875885,0.004626621539256069,0.09925903631124498,0.0013024293850202595,0.49742808971713764,0.004244989189039639,0.0018334617458003253,0.011098861390828581,0.042807043430801044,0.10739857022010092,0.02777666459026921,0.028923489923883123,119277.1,0.0,0.01622222538945028,0.007437555071342278,0.014242801007066737,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
0.12426387307551671,0.0031317908730665984,0.07956024268388823,0.004531176986281047,0.34956397560703883,0.0036658947428919093,0.0014686794724191904,0.06910890721895244,0.02818279121011969,0.08674820775097537,0.13653637108625233,0.02015884670935817,141283.38,0.0,0.015035243352756708,0.007402639999127993,0.07064135923135474,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
