TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12NH01-2 [19608],49.51,2.48,12.85,9.08,9.86,8.08,0.15,1.57,2.89,0.5,10.9,129.0,58.2,116.0,20.7,200.0,193.0,55.3,39.6,637.0,23.8,172.0,42.0,0.52,454.0,25.3,49.4,6.02,26.6,6.44,2.21,6.35,0.89,4.86,0.82,2.1,0.27,1.52,0.2,4.07,2.23
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12NH02-1 [19608],48.23,2.74,13.19,9.78,9.65,8.01,0.15,1.68,3.07,0.6,11.41,120.0,64.8,123.0,18.7,208.0,124.0,57.1,44.5,735.0,25.6,209.0,52.8,0.5,532.0,30.3,59.6,7.06,31.0,7.36,2.45,7.03,0.99,5.25,0.89,2.22,0.28,1.6,0.2,4.84,2.81
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12SZ23-1 [19608],51.11,2.22,13.74,10.24,8.13,8.01,0.14,1.22,2.98,0.45,10.81,145.0,73.4,115.0,18.3,170.0,183.0,49.2,21.8,1162.0,21.9,124.0,30.4,0.14,1348.0,19.1,37.8,4.67,20.7,5.47,1.95,5.73,0.83,4.45,0.75,1.95,0.25,1.44,0.21,3.27,1.6
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12SZ25-1 [19608],50.83,2.6,13.43,9.81,8.16,6.82,0.13,1.93,3.43,0.65,10.81,164.0,66.8,126.0,16.1,174.0,133.0,60.5,41.2,672.0,26.1,187.0,47.9,0.3,516.0,28.7,54.0,6.65,28.6,7.04,2.45,7.08,1.02,5.24,0.93,2.26,0.29,1.61,0.23,4.52,2.57
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12SZ26-1 [19608],51.19,2.06,12.81,9.82,8.08,8.71,0.13,1.12,3.16,0.36,11.14,243.0,89.8,119.0,18.4,160.0,189.0,58.8,24.7,426.0,22.1,126.0,23.6,0.18,294.0,15.3,30.8,3.89,17.7,4.82,1.82,5.34,0.81,4.5,0.79,1.98,0.27,1.51,0.21,3.25,1.25
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC13-1 [19608],51.89,2.34,13.41,10.59,8.87,6.31,0.15,1.07,3.12,0.37,11.22,122.0,85.0,127.0,20.5,185.0,137.0,53.1,20.6,438.0,24.4,130.0,22.3,0.24,277.0,14.4,29.3,3.78,17.9,5.13,1.92,5.74,0.9,4.96,0.88,2.22,0.28,1.65,0.23,3.45,1.2
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC14-1 [19608],46.36,2.36,12.49,9.83,10.48,9.46,0.17,1.41,2.97,0.59,12.34,310.0,302.0,126.0,23.4,221.0,236.0,76.1,31.5,795.0,25.3,156.0,44.9,0.32,466.0,27.4,53.3,6.5,28.6,6.75,2.29,6.63,0.97,5.19,0.9,2.21,0.3,1.62,0.23,3.74,2.32
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC14-2 [19608],46.18,2.35,12.72,11.07,10.38,9.57,0.17,1.44,2.66,0.57,12.55,308.0,299.0,124.0,22.2,218.0,231.0,78.7,31.4,696.0,24.6,152.0,44.0,0.29,456.0,26.8,52.0,6.36,27.7,6.65,2.31,6.48,0.93,4.97,0.88,2.24,0.27,1.62,0.21,3.62,2.28
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC16-1 [19608],48.43,2.39,12.21,11.23,10.37,9.01,0.16,1.42,2.51,0.63,11.58,191.0,106.0,123.0,20.6,184.0,207.0,59.2,36.4,1138.0,26.4,187.0,52.3,0.24,462.0,32.6,63.3,7.52,32.5,7.44,2.44,7.33,1.05,5.5,0.95,2.29,0.3,1.7,0.22,4.39,2.84
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC17-1 [19608],48.71,2.35,12.39,10.337,9.82,9.14,0.16,1.33,2.75,0.61,11.45,179.0,100.0,125.0,20.2,183.0,201.0,57.4,30.2,612.0,26.4,189.0,51.9,0.37,421.0,32.2,62.8,7.53,32.3,7.47,2.44,7.16,1.04,5.58,0.91,2.4,0.31,1.75,0.24,4.39,2.81
