TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
INTRAPLATE VOLCANICS,38.0443,127.06945,SAE,s_2404 [18304],48.42,1.69,15.41,10.19,8.37,10.32,0.17,1.54,3.19,0.34,10.19,225.0,51.5,86.4,21.7,176.0,307.0,52.0,17.7,492.0,20.7,157.0,22.7,0.135,257.0,19.5,40.1,4.81,20.0,4.56,1.54,4.69,0.7390000000000001,4.27,0.8320000000000001,2.32,0.313,2.0,0.29,3.61,1.39
INTRAPLATE VOLCANICS,38.0443,127.06945,SAE,s_2603 [18304],48.21,1.91,15.58,10.36,8.44,9.28,0.17,1.68,3.09,0.38,10.36,181.0,52.8,86.9,22.2,160.0,212.0,47.9,18.5,530.0,22.2,172.0,25.9,0.314,254.0,21.3,43.8,5.2,21.4,4.89,1.65,5.1,0.8009999999999999,4.6,0.9,2.49,0.33899999999999997,2.17,0.311,3.99,1.62
INTRAPLATE VOLCANICS,38.0443,127.06945,SAE,s_2608 [18304],48.23,1.92,15.58,10.09,8.57,9.15,0.16,1.86,2.99,0.39,10.09,187.0,53.7,88.2,22.2,178.0,231.0,46.7,21.8,547.0,22.8,182.0,26.9,0.295,269.0,22.6,46.4,5.51,22.7,5.12,1.69,5.29,0.8240000000000001,4.76,0.927,2.57,0.34600000000000003,2.2,0.32,4.18,1.69
CONVERGENT MARGIN,-40.311516,-72.22397,SAE,s_FB091012-7 [19945],51.13,2.4,14.37,12.06,7.89,4.42,0.25,0.85,3.6,1.17,12.06,9.2,38.1,79.0,37.0,224.0,48.0,20.6,17.6,393.6,37.8,102.3,4.3,0.9,291.0,18.5,46.0,6.67,32.7,7.7,2.51,9.25,1.27,6.88,1.44,4.36,0.57,4.01,0.5,2.8,0.3
CONVERGENT MARGIN,-40.368158,-71.993835,SAE,s_FB151112-1 [19945],51.4,1.05,17.31,8.95,8.66,6.83,0.17,0.88,3.17,0.34,8.95,81.5,38.9,62.0,25.0,221.0,198.0,38.0,18.1,567.7,22.9,129.5,5.7,0.8,320.0,15.9,36.1,4.98,24.8,4.9,1.45,4.92,0.63,3.84,0.84,2.59,0.28,2.23,0.28,3.2,0.2
CONVERGENT MARGIN,-40.283039,-72.060194,SAE,s_FB210314-2 [19945],49.75,1.15,16.68,9.11,8.93,7.57,0.16,1.1,2.93,0.28,9.11,97.5,29.9,46.0,27.0,215.0,233.0,34.7,21.3,527.0,19.1,98.3,5.4,0.5,292.0,14.4,32.9,4.1,18.3,3.89,1.22,4.07,0.64,3.51,0.74,2.09,0.3,2.03,0.3,2.8,0.4
CONVERGENT MARGIN,-40.303784,-72.025388,SAE,s_FB210314-5 [19945],50.26,1.0,17.46,9.24,8.87,6.63,0.17,0.75,3.03,0.22,9.24,73.8,39.1,55.0,26.0,204.0,144.0,31.3,10.7,485.9,16.7,65.1,2.4,0.5,244.0,10.4,23.6,3.07,12.9,3.48,1.1,3.28,0.52,3.14,0.66,2.07,0.28,1.77,0.27,2.0,0.1
CONVERGENT MARGIN,-40.404358,-71.98895999999999,SAE,s_FB220114-6 [19945],51.79,1.04,17.26,8.72,8.36,6.22,0.16,1.04,3.19,0.34,8.72,69.4,42.7,48.0,25.0,196.0,130.0,28.0,18.3,515.4,19.3,125.1,5.4,0.8,295.0,17.2,40.2,4.9,20.2,4.55,1.4,4.18,0.66,3.88,0.81,2.09,0.32,2.18,0.33,3.2,0.3
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),-30.82,119.52,SAE,s_KM-3 [16962],52.76,0.33,14.73,9.26,4.74,9.31,0.3,0.11,4.17,0.04,9.26,90.0,10.0,70.0,42.0,258.0,400.0,43.0,2.0,52.0,9.2,22.0,0.0,0.5,32.0,0.73,1.67,0.21,1.12,0.48,0.23399999999999999,0.93,0.2,1.52,0.35,1.09,0.17600000000000002,1.26,0.221,0.7,0.0
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),-30.82,119.52,SAE,s_KM-9 [16962],51.85,0.49,14.36,8.94,8.73,9.64,0.09,0.1,1.89,0.05,8.94,70.0,70.0,60.0,41.0,229.0,290.0,34.0,1.0,96.0,15.0,33.0,1.0,0.1,21.0,3.6,7.87,1.01,4.74,1.43,0.5489999999999999,2.17,0.39,2.48,0.53,1.63,0.249,1.71,0.29100000000000004,1.0,0.36
CONVERGENT MARGIN,19.19722,-99.45733,SAE,s_D-45 [20034],51.3,1.34,15.5,7.4,8.38,8.59,0.12,1.19,3.57,0.31,7.4,229.0,44.0,63.0,23.0,148.0,379.0,41.4,16.0,808.0,25.0,174.0,9.4,0.4,423.0,25.0,56.0,7.5,33.0,6.8,2.07,5.9,0.89,4.64,0.89,2.59,0.38,2.34,0.32,4.57,0.6
CONVERGENT MARGIN,18.8111,-99.21,SAE,s_D-37 [20034],51.6,1.61,15.6,8.47,7.93,8.24,0.14,1.2,3.43,0.46,8.47,184.0,36.0,74.0,26.0,169.0,374.0,38.0,19.0,490.0,30.0,179.0,13.9,0.7,359.0,20.0,42.0,5.6,24.0,5.4,1.78,5.2,0.81,4.78,0.93,2.64,0.38,2.37,0.34,4.18,1.1
CONVERGENT MARGIN,19.089560000000002,-99.62647,SAE,s_XTN [20034],49.1,1.38,13.7,7.01,14.3,9.93,0.13,0.21,2.61,0.34,7.01,91.0,42.0,61.0,20.0,101.0,219.0,31.0,2.0,612.0,22.0,146.0,12.2,0.0,276.0,19.0,41.0,5.5,23.0,5.4,1.66,5.02,0.8,4.37,0.83,2.39,0.34,2.11,0.31,3.99,0.8
INTRAPLATE VOLCANICS,40.9786,114.5276,SAE,s_DMPII-06 [20036],48.99845403,1.8767925630000002,14.34183934,10.23,8.395104686,7.912805873,0.14750386199999999,1.135391571,2.752111535,0.38719763799999996,10.23,147.9,63.42,106.3,18.32,157.0,186.3,44.16,13.68,509.6,16.97,137.3,22.46,0.027999999999999997,244.9,18.38,38.64,4.99,21.04,4.905,1.6969999999999998,4.529,0.649,3.5380000000000003,0.6459999999999999,1.6540000000000001,0.207,1.2429999999999999,0.18,3.178,1.42
INTRAPLATE VOLCANICS,40.5724,114.8379,SAE,s_LC-01 [20036],50.76168307,1.9578283980000002,13.48529528,10.5,7.476208102999999,6.89325812,0.130260795,1.598458535,3.272388897,0.458895241,10.5,132.3,30.18,136.3,17.312,172.64,187.86,35.02,17.842,586.8,19.394000000000002,185.84,42.12,0.09523999999999999,380.0,24.4,48.2,6.303999999999999,24.28,5.392,1.7590000000000001,5.19,0.795,3.944,0.7832,1.8316,0.2642,1.4168,0.2016,4.62,2.715
INTRAPLATE VOLCANICS,40.5724,114.8379,SAE,s_LC-02 [20036],49.84072708,2.019806585,15.28157639,10.69,8.128000976000001,5.21349996,0.154160636,1.707203649,3.778129315,0.42230578700000004,10.69,70.08,39.96,100.62,19.594,175.36,176.34,32.78,19.534000000000002,549.4,20.64,183.22,36.54,0.07504,438.6,22.34,44.44,5.882000000000001,22.94,5.138,1.7246,5.074,0.7984,4.112,0.8332,1.9758,0.2878,1.5808,0.2244,4.5264,2.208
INTRAPLATE VOLCANICS,41.2224,113.2793,SAE,s_DLH-01 [20036],48.22894292,2.0643877390000003,15.41837699,9.72,9.518736857999999,5.733439645,0.15000866,2.1061740980000003,3.143149272,0.5372538410000001,9.72,70.78,43.26,104.0,18.834,197.66,180.76,35.72,21.5,716.0,20.14,227.4,60.12,0.14814000000000002,449.4,27.68,54.26,6.997999999999999,26.7,5.726,1.8430000000000002,5.234,0.7909999999999999,3.912,0.7684,1.8116,0.26,1.4052,0.19927999999999998,5.16,3.8029
INTRAPLATE VOLCANICS,40.6611,113.2818,SAE,s_NQS-01 [20036],46.08636143,2.7695242810000003,11.69453957,11.62,8.516787763,8.442778264,0.16982057,1.079654053,4.828427378,1.146919834,11.62,225.2,43.12,123.32,15.347999999999999,204.4,254.0,49.2,31.2,1282.2,24.58,342.4,123.22,0.41,464.6,53.3,96.86,13.51,50.94,10.193999999999999,3.182,8.722000000000001,1.2146,5.478,0.9748,2.086,0.2728,1.3419999999999999,0.17822000000000002,7.763999999999999,6.915
INTRAPLATE VOLCANICS,40.795,113.1278,SAE,s_QLT-01 [20036],49.12936844,1.8872485419999998,13.3730468,10.59,7.829011662,9.522656861,0.157831398,1.465394153,3.2334565580000003,0.44733623,10.59,211.6,36.36,97.02,19.118,181.4,283.8,46.76,13.854000000000001,604.2,19.99,183.5,43.64,0.3198,418.8,23.54,46.24,6.01,22.82,4.956,1.5996,4.71,0.7254,3.694,0.7472,1.8182,0.2662,1.4582,0.2082,4.2525,2.5088
INTRAPLATE VOLCANICS,40.519,113.2419,SAE,s_SH-01 [20036],48.51872072,2.04620039,14.75608094,12.65,8.542078337000001,6.994453207,0.166158453,0.5178920810000001,3.2570181939999996,0.248238381,12.65,120.06,67.56,117.24,18.654,181.72,149.5,44.8,5.456,334.6,19.092,114.16,13.915999999999999,0.0554,207.6,9.922,21.46,3.102,13.514000000000001,3.798,1.3668,4.246,0.7,3.678,0.7438,1.7854,0.259,1.401,0.19574,3.1368,0.8397
INTRAPLATE VOLCANICS,40.519,113.2419,SAE,s_SH-02 [20036],49.93276644,2.021055493,14.129437099999999,12.24,8.445180825,6.769769798,0.16386220699999998,0.28649129100000004,2.9791612069999998,0.226424314,12.24,127.72,77.02,124.08,20.3,188.4,160.78,47.44,1.2438,358.6,19.004,116.74,15.106,0.01888,232.2,10.062000000000001,22.06,3.1719999999999997,13.83,3.926,1.4428,4.33,0.72,3.78,0.7622,1.8074,0.2656,1.4018,0.2016,3.1968,0.89145
INTRAPLATE VOLCANICS,43.239,118.1386,SAE,s_XLM-07 [20036],49.12576904,2.093722095,11.98830513,11.23,8.230334573,8.894974515,0.157420505,1.24188692,2.347126277,0.426748864,11.23,218.8,56.76,111.5,18.788,196.18,237.2,50.24,21.64,635.6,20.56,189.38,41.92,0.1845,309.4,22.7,45.7,6.026,23.52,5.364,1.768,5.172000000000001,0.7962,3.9560000000000004,0.7608,1.7406,0.2444,1.296,0.17642,4.33,2.6298
INTRAPLATE VOLCANICS,43.239,118.1386,SAE,s_XLM-17 [20036],47.84877708,2.155198021,12.9696632,10.86,9.610623671,7.948863532000001,0.179207636,1.275045541,3.293835295,0.421238227,10.86,189.56,61.38,117.3,19.648,198.6,245.6,45.4,20.88,452.6,21.22,194.96,39.16,0.19408,308.0,21.54,43.42,5.7379999999999995,22.44,5.204,1.69,5.132000000000001,0.7984,4.01,0.7824,1.838,0.2584,1.3872,0.18778,4.4175,2.4588
INTRAPLATE VOLCANICS,42.4104,118.26299999999999,SAE,s_DMB-01 [20036],48.932018799999994,2.100096789,13.44926387,11.81,7.7372172489999995,6.403846046,0.155616011,1.15586022,3.3418078510000004,0.42033110799999995,11.81,156.42469330000003,29.90146793,181.41966619999997,19.80293585,206.515182,203.69997990000002,44.37965011,12.92579932,429.5194048,24.31128092,186.8892017,33.94329379,0.0325,286.74844160000004,22.54172532,40.90086467,6.062738789,23.96943495,5.660567062,1.798310879,5.638447617000001,0.8739191629999999,4.373617535,0.8652724709999999,2.016891213,0.282525638,1.4757691530000001,0.206314096,4.373617535,2.081238689
INTRAPLATE VOLCANICS,42.4104,118.26299999999999,SAE,s_DMB-06 [20036],47.39985551,2.176506798,14.39642616,12.02,8.824451021,7.521959348999999,0.17299992399999997,1.22347237,3.7040837030000002,0.433200259,12.02,158.52,42.68,115.44,19.366,188.96,198.46,45.7,10.936,467.4,23.84,189.06,34.02,0.06392,262.6,22.94,41.48,5.942,23.28,5.44,1.6969999999999998,5.382000000000001,0.8412,4.206,0.841,1.9832,0.2838,1.4904,0.2134,4.3875,2.1258
INTRAPLATE VOLCANICS,42.4104,118.26299999999999,SAE,s_DMB-09 [20036],48.00823699,2.324384338,12.40693765,11.46,8.207409274,8.791736565,0.16413681800000002,1.489953114,2.926761656,0.5523738570000001,11.46,175.22,54.94,115.26,19.052,206.4,207.4,48.06,19.458,667.2,22.94,236.2,51.56,0.11132,350.8,27.94,55.42,7.246,27.96,6.254,1.9612,5.89,0.885,4.348,0.8412,1.9644,0.273,1.4408,0.19785999999999998,5.115,3.1428
INTRAPLATE VOLCANICS,42.4104,118.26299999999999,SAE,s_DMB-12 [20036],49.72619558,2.047271063,11.39916458,11.14,7.68060444,9.60978933,0.152517152,0.9501915240000001,2.545927056,0.388224869,11.14,229.2,49.56,109.12,19.285999999999998,192.32,291.0,50.8,8.79,408.4,19.774,172.56,36.32,0.02086,259.2,19.298,39.06,5.1739999999999995,20.44,4.908,1.5832,4.792,0.7488,3.748,0.7334,1.7009999999999998,0.2428,1.2766,0.17568,4.0625,2.2680000000000002
INTRAPLATE VOLCANICS,42.4104,118.26299999999999,SAE,s_DMB-15 [20036],48.26020717,2.234129144,12.64493054,11.07,8.360823114,8.605456072,0.158653428,1.6527899830000001,2.751941809,0.523606539,11.07,182.1,55.4,110.88,17.535999999999998,197.7,225.0,45.7,25.18,670.0,20.34,216.6,47.06,0.11214,348.0,26.64,53.36,6.944,26.56,5.7379999999999995,1.8054,5.334,0.8054,3.93,0.7472,1.7176,0.2434,1.2898,0.17214000000000002,4.81,3.0222
INTRAPLATE VOLCANICS,42.4104,118.26299999999999,SAE,s_DMB-35 [20036],45.491535799999994,3.1188827110000004,11.67764365,12.54,9.150953829,9.238949507000001,0.174038688,1.697015585,2.685629903,0.8877050059999999,12.54,222.1105528,47.39698492,134.35175880000003,18.06231156,221.9095477,217.28643219999998,53.5678392,32.58291457,844.6231156,25.10552764,258.29145730000005,86.93467337,0.43959799,700.9045226,42.73366834,81.40703518,10.424120599999998,39.95979899,8.647236181,2.729648241,7.702512562999999,1.100301508,5.077386935,0.9300502509999999,2.028140704,0.270954774,1.3531658290000002,0.17752763800000002,5.688442211,5.099698492
INTRAPLATE VOLCANICS,42.3953,118.50299999999999,SAE,s_DMN-03 [20036],49.73315891,2.380262995,13.793600099999999,11.05,8.119302081,6.61687476,0.161996373,1.4699219190000001,3.5788571539999996,0.42646122,11.05,166.98,54.98,123.4,19.614,214.2,177.4,44.14,24.26,473.8,22.76,216.0,37.58,0.2154,316.6,19.984,40.8,5.47,21.7,5.39,1.7766,5.398,0.8484,4.306,0.8442,1.9634,0.2782,1.4448,0.1999,4.97,2.3688
INTRAPLATE VOLCANICS,42.3953,118.50299999999999,SAE,s_DMN-05 [20036],49.93276009,2.342597575,13.58823763,11.53,7.518968622999999,6.473842482999999,0.16153168199999998,1.489423893,3.555599571,0.46957419899999997,11.53,165.56,63.7,126.62,16.778,192.7,135.56,40.74,21.02,433.8,22.62,204.0,38.2,0.15378,312.4,19.714000000000002,39.68,5.364,21.32,5.27,1.7380000000000002,5.37,0.8496,4.303999999999999,0.8368,1.9296,0.2716,1.4376,0.1958,4.685,2.3832
INTRAPLATE VOLCANICS,42.3953,118.50299999999999,SAE,s_DMN-07 [20036],49.42064264,2.2292836869999997,11.86458654,11.9,7.8995247179999994,9.356269963999999,0.167349671,1.3164601059999999,3.185443125,0.405406385,11.9,266.4,51.26,124.74,19.726,202.6,320.0,54.08,19.18,407.0,21.6,186.98,34.48,0.08234,267.2,17.672,35.94,4.87,19.514,4.904,1.6128,5.04,0.8029999999999999,4.042,0.7994,1.8398,0.2606,1.3730000000000002,0.1834,4.255,2.3616
INTRAPLATE VOLCANICS,42.3953,118.50299999999999,SAE,s_DMN-08 [20036],49.49653134,1.9727622530000002,12.22044646,11.52,7.634709374,9.550024887000001,0.16241771800000002,1.2005752109999999,3.109845687,0.360412264,11.52,294.0,55.96,121.54,19.394000000000002,187.14,293.0,56.26,15.364,422.6,20.42,173.56,32.4,0.05412,294.0,17.387999999999998,34.68,4.718,18.77,4.586,1.5382,4.716,0.7476,3.792,0.7476,1.7158,0.251,1.3242,0.18456,4.035,2.124
INTRAPLATE VOLCANICS,42.3351,118.7049,SAE,s_SM-06 [20036],46.63806761,2.4224463419999998,13.64629415,12.41,8.328375415,8.685189892,0.17434407600000001,1.410667335,3.578045501,0.418272551,12.41,236.8,50.84,127.44,19.952,214.0,238.6,51.64,19.71,439.4,21.92,180.82,35.28,0.07128,269.2,17.868,36.8,4.986000000000001,20.1,5.062,1.7018,5.152,0.8264,4.194,0.82,1.8884,0.2686,1.423,0.1953,4.4075,2.2662
INTRAPLATE VOLCANICS,42.3351,118.7049,SAE,s_SM-09 [20036],48.37891027,2.109911224,13.72116874,11.27,8.092180775,8.157638223,0.168142536,1.608296274,3.752992165,0.449349189,11.27,219.2,54.04,109.46,18.928,199.5,268.0,47.36,23.82,494.0,21.52,189.5,37.64,0.08254,338.8,21.14,42.12,5.518,21.48,5.06,1.6412,5.032,0.7796,4.0,0.7898,1.8652,0.2636,1.39,0.19326,4.4025,2.403
INTRAPLATE VOLCANICS,42.3384,118.6843,SAE,s_YJQD-10 [20036],51.88419992,1.899237772,13.76242851,10.16,7.908307959,7.455580757000001,0.145512139,1.173859815,3.18729745,0.363869275,10.16,165.56,41.98,104.32,18.258,185.58,223.4,44.64,16.004,421.6,20.16,183.86,30.24,0.17218,290.6,19.594,39.7,4.976,21.44,5.062,1.6464,5.154,0.7696,4.292,0.7876,2.062,0.2754,1.6604,0.233,4.3472,1.7731
INTRAPLATE VOLCANICS,43.9859,114.7592,SAE,s_ABG-00 [20036],48.2541399,2.9911349410000003,12.319299,12.66,8.955507752,7.706649194,0.167450449,1.008680932,3.071252098,0.545076095,12.66,135.48,42.28,134.72,19.998,221.4,177.4,47.9,12.106,512.4,25.78,209.0,43.42,0.1009,281.4,20.86,43.18,6.07,25.42,6.556,2.2119999999999997,6.627999999999999,1.0282,5.074,0.9686,2.1919999999999997,0.3052,1.5658,0.2132,5.1175,2.7342
INTRAPLATE VOLCANICS,43.9859,114.7592,SAE,s_ABG-01 [20036],52.98769782,3.119846499,10.83050079,11.19,7.678175975,6.563480061,0.154956982,1.573455864,3.108088928,0.754980667,11.19,128.22159779999998,69.47009233,125.1906865,16.30268968,215.5760739,145.4235247,37.73584906,26.09393818,613.0068246000001,28.50260939,285.2268165,72.64150943,0.20835006,438.3781614,35.2468888,69.47009233,9.369731032,36.87274187,8.456443196,2.677639502,7.934564432,1.182055399,5.6704134889999995,1.068044962,2.3825772780000003,0.322962666,1.627057407,0.21417101600000002,6.430650341000001,4.469289442
INTRAPLATE VOLCANICS,43.9859,114.7592,SAE,s_ABG-06 [20036],47.85957927,2.912861018,10.60361553,12.01,9.845858181,8.935233365,0.17073749100000002,1.3598147740000002,2.937800858,0.6174920660000001,12.01,224.2,60.38,133.34,20.0,231.4,274.8,50.46,22.96,636.2,25.62,258.2,61.68,0.18445999999999999,398.8,30.14,60.98,8.144,32.34,7.57,2.418,7.136,1.0692,5.142,0.9616,2.146,0.2868,1.4754,0.1933,5.85,3.825
INTRAPLATE VOLCANICS,43.8968,114.3862,SAE,s_ABGD-01 [20036],47.90908173,2.9372181630000003,11.23661912,11.9,8.621908831,9.334027423,0.16405546,1.6821124159999998,3.0067738989999997,0.660001029,11.9,232.8,38.88,130.56,17.078,215.6,253.0,50.22,30.72,626.6,22.62,250.4,65.46,0.26899999999999996,450.6,30.86,61.64,8.187999999999999,32.22,7.287999999999999,2.322,6.724,0.9818,4.652,0.8542,1.8864,0.256,1.2442,0.16548,5.8225,4.2012
INTRAPLATE VOLCANICS,43.8968,114.3862,SAE,s_ABGD-04 [20036],49.13789837,2.8334562269999997,11.91234298,11.29,8.411367992999999,7.811671672,0.13873761699999998,1.616877619,3.2397376589999998,0.6123337329999999,11.29,214.4,41.04,127.8,17.625999999999998,215.6,250.8,46.62,30.46,601.2,23.14,244.6,60.1,0.2558,402.6,29.26,58.7,7.827999999999999,31.04,7.144,2.282,6.7379999999999995,0.9942,4.724,0.8816,1.9382,0.2584,1.3352,0.17484,5.74,3.8862
INTRAPLATE VOLCANICS,43.9149,115.616,SAE,s_YHN-02 [20036],47.23949463,3.094536153,11.10889298,12.04,9.686254531,7.510895576,0.25599040100000003,1.450100283,2.9932445810000003,0.888917198,12.04,161.78,44.78,139.92,17.648,240.0,173.62,51.16,26.72,859.2,24.78,260.0,89.36,0.4052,785.0,42.58,81.44,10.414000000000001,40.1,8.672,2.766,7.812,1.1156,5.11,0.927,2.042,0.2684,1.3478,0.17557999999999999,5.8225,5.724
INTRAPLATE VOLCANICS,43.9149,115.616,SAE,s_YHN-07 [20036],45.97306504,3.011422029,11.02932779,12.07,10.56238175,7.827768394,0.28662578,1.3966740530000001,3.4441095589999997,0.8675728909999999,12.07,164.98,62.2,122.66,16.914,217.4,189.46,48.78,25.48,770.8,23.06,239.2,80.4,0.3896,602.6,39.02,74.76,9.572000000000001,36.84,7.954,2.53,7.148,1.0224,4.728,0.8598,1.8702,0.2486,1.2486,0.16555999999999998,5.2975,4.725
INTRAPLATE VOLCANICS,43.9149,115.616,SAE,s_YHN-10 [20036],46.61298145,3.115437243,11.29421234,12.35,8.847317805,8.672720185,0.17833095100000002,1.839379115,3.086505577,0.879015069,12.35,164.04,41.84,135.92,17.688,225.4,185.66,51.4,35.08,820.6,24.8,259.2,88.12,0.3708,642.6,42.5,81.16,10.398,39.94,8.61,2.7260000000000004,7.78,1.1006,5.12,0.9306,2.0340000000000003,0.2664,1.3534,0.17645999999999998,5.7775,5.2398
INTRAPLATE VOLCANICS,43.9149,115.616,SAE,s_YHN-14 [20036],46.15439073,3.251351171,11.76888745,12.69,9.260456578,7.92262359,0.210116348,1.528768497,3.31627469,0.926793896,12.69,150.36,44.58,137.98,18.074,238.8,151.56,52.48,24.3,883.6,25.68,268.2,91.7,0.3488,693.2,43.94,84.08,10.78,41.34,8.876,2.842,7.968,1.1518,5.284,0.9592,2.094,0.2748,1.3666,0.17928,6.0375,5.4576
INTRAPLATE VOLCANICS,43.9692,114.2141,SAE,s_GGW-01 [20036],48.70618928,2.158175131,12.05882043,11.82,8.345490218,8.832984300000001,0.171860682,1.0747369390000001,3.5818415810000004,0.569285901,11.82,300.8,131.8,137.56,20.92,226.0,192.52,53.8,9.126,728.4,29.56,272.6,78.9,0.4722,532.8,38.92,74.66,9.526,36.08,7.968,2.57,7.6579999999999995,1.1722,5.8260000000000005,1.1334,2.608,0.3618,1.865,0.2518,6.144,4.7844
INTRAPLATE VOLCANICS,43.9692,114.2141,SAE,s_GGW-03 [20036],48.2729232,2.183148193,11.98096509,11.87,8.402292982999999,8.969817118,0.178431463,1.0617722170000001,3.488084515,0.577717825,11.87,303.1215497,174.5257453,154.3912476,20.43561176,220.21479469999997,191.1673191,53.21690254,13.53206865,708.621901,28.90695574,261.36705809999995,75.55957041,0.452674897,693.5661949,37.81993375,72.56850346,9.264277827999999,35.12998093,7.740640368999999,2.535380909,7.39737027,1.133393556,5.624811804,1.089230152,2.523336344,0.35210278,1.8325805480000001,0.244103182,5.875338752999999,4.554652213
INTRAPLATE VOLCANICS,43.9692,114.2141,SAE,s_GGW-04 [20036],48.40738646,1.967644178,12.653089300000001,11.67,8.707806145,9.337115139,0.168391163,0.974123028,2.9461425560000003,0.377467994,11.67,333.4,122.72,105.46,22.78,210.8,241.4,52.48,18.772000000000002,434.0,24.84,169.94,43.94,0.11592000000000001,395.8,21.7,41.56,5.432,21.32,5.164,1.7256,5.376,0.877,4.558,0.9298,2.23,0.3278,1.7654,0.2444,4.0008,2.6532
INTRAPLATE VOLCANICS,43.9692,114.2141,SAE,s_GGW-07 [20036],48.85898283,2.00352128,11.940128699999999,11.98,8.755890967000001,9.583733027000001,0.17201219399999998,0.978567532,2.963608989,0.39192822,11.98,337.4,115.04,112.28,22.88,221.0,243.6,55.1,18.144000000000002,435.8,24.88,166.68,44.34,0.11464,317.0,21.04,41.18,5.392,21.26,5.1739999999999995,1.7264,5.377999999999999,0.8698,4.57,0.9386,2.246,0.3256,1.7832,0.2446,3.924,2.6766
INTRAPLATE VOLCANICS,43.9692,114.2141,SAE,s_GGW-12 [20036],48.75499758,2.124934437,12.15682593,11.69,8.459397155,8.784050282,0.17029707300000002,1.109882579,3.44630963,0.553491033,11.69,280.8,83.44,124.8,19.855999999999998,213.4,191.56,50.26,7.428,668.8,27.36,246.0,70.14,0.6364,516.2,35.22,67.6,8.634,32.72,7.256,2.35,6.914,1.0634,5.263999999999999,1.0198,2.3480000000000003,0.32299999999999995,1.6934,0.22399999999999998,5.4456,4.2084
INTRAPLATE VOLCANICS,43.9692,114.2141,SAE,s_GGW-14 [20036],48.03405138,2.170215147,10.57221004,11.5,8.541441977,11.826347199999999,0.163951401,1.124561447,2.9920219789999996,0.565967699,11.5,475.6,135.38,121.28,18.862000000000002,205.8,473.6,57.3,22.9,518.8,23.46,186.84,58.76,0.1499,421.4,27.7,53.42,6.898,26.7,6.11,1.9706,6.018,0.9196,4.552,0.8796,2.0140000000000002,0.2796,1.4654,0.1975,4.3704,3.4614
INTRAPLATE VOLCANICS,43.9692,114.2141,SAE,s_GGW-15 [20036],45.13022563,2.6022893,11.94113039,12.98,9.963358028,9.659554816,0.19302231,0.9892798429999999,2.96768604,0.660815927,12.98,154.5,41.18,122.18,21.44,237.2,163.78,50.8,14.927999999999999,593.4,26.7,192.86,65.98,0.4998,414.0,30.64,58.74,7.547999999999999,29.04,6.62,2.138,6.54,1.0106,5.084,1.0014,2.346,0.32799999999999996,1.7088,0.2326,4.4472,3.9708
INTRAPLATE VOLCANICS,43.5365,116.1234,SAE,s_HTL-03 [20036],49.90294853,2.396648129,12.90925594,11.57,8.527606624,7.601123231,0.149520714,1.127516558,3.116188878,0.37850248,11.57,140.78,30.9,116.74,17.664,198.32,166.6,46.78,15.866,392.6,19.396,146.32,35.06,0.17818,268.2,15.45,30.56,4.3180000000000005,17.8,4.614,1.526,4.756,0.7486,3.742,0.7314,1.6772,0.2316,1.2216,0.16624,3.5496,2.0592
INTRAPLATE VOLCANICS,43.5365,116.1234,SAE,s_HTL-04 [20036],49.85932391,2.437615916,12.774166000000001,11.9,8.424665212,7.44177083,0.1533264,1.199312648,3.242430933,0.379002815,11.9,141.8,50.44,120.48,19.326,202.6,171.86,49.14,21.52,408.8,20.78,158.12,36.82,0.2746,317.8,16.004,32.46,4.4719999999999995,18.58,4.8919999999999995,1.6472,5.046,0.8048,4.026,0.7832,1.7994,0.2538,1.3159999999999998,0.18175999999999998,3.8352,2.168
CONTINENTAL FLOOD BASALT,37.6403,134.3278,SAE,s_VG1 [20054],45.35,2.42,12.23,12.1,7.35,10.14,0.17,0.38,3.02,0.38,12.1,136.0,58.0,76.0,22.0,118.0,200.0,77.0,23.1,600.0,19.9,132.0,27.7,0.5,110.0,20.0,42.4,5.39,24.97,6.1,1.86,5.11,0.86,4.84,0.87,2.37,0.28,1.8,0.26,4.0,2.0
CONTINENTAL FLOOD BASALT,37.6403,134.3278,SAE,s_VG3 [20054],46.76,2.17,13.15,11.67,10.56,8.32,0.14,0.58,3.5,0.38,11.67,84.0,80.0,76.0,23.0,121.0,199.0,70.0,10.7,537.0,20.9,142.0,29.9,0.6,250.0,20.8,42.6,5.46,22.7,5.4,1.9,5.3,0.87,4.73,0.91,2.24,0.31,1.7,0.36,4.0,2.1
