city,distance_from_home
Mumbai,837.1857087990927
Delhi,1738.6388557826444
Kolkata,1552.6378233436667
Chennai,295.34010730466787
Hyderabad,500.04772863048214
Ahmadabad,1231.680816425481
Haora,1559.2544595374122
Pune,732.4302206015487
Surat,1039.9195623793303
Cawnpore,1521.0014728413628
Jaipur,1555.2482217627694
Lucknow,1576.5320601576095
Nagpur,921.9735714467878
Patna,1609.9471582850406
Indore,1093.4103604809561
Vadodara,1133.1428990193776
Bhopal,1137.9424820122688
Coimbatore,227.8260499346457
Ludhiana,1996.112203902958
Agra,1572.8346249575716
Kalyan,839.185478509449
Vishakhapatnam,810.9548839332289
Kochi,357.90106097622527
Nasik,876.3237163628668
Meerut,1774.9808967031222
Faridabad,1712.2554150071694
Varanasi,1482.485530834861
Ghaziabad,1737.3095866240674
Asansol,1547.374343961873
Jamshedpur,1419.7915625325147
Madura,342.87346502262943
Jabalpur,1157.547700207219
Rajkot,1257.6455710926289
Dhanbad,1519.8797413263794
Amritsar,2085.7927577887267
Warangal,598.3047457795849
Allahabad,1453.1240661512538
Srinagar,2356.7897722478165
Bezwada,513.3415932550715
Aurangabad,802.8332826868904
Bhilai,1001.2725628764812
Solapur,549.7921958151203
Ranchi,1413.6339183181374
New Delhi,1730.946711984087
Jodhpur,1549.388902131347
Guwahati,2083.40417972067
Chandigarh,1967.173194151004
Gwalior,1469.356245528761
Thiruvananthapuram,498.92097587344585
Calicut,272.3089465933166
Trichinopoly,268.78891959489505
Hubli,372.8463976790708
Mysore,122.02828320754827
Raipur,1012.1009574698202
Salem,158.84347515340596
Jalandhar,2043.9244459926356
Bhubaneshwar,1195.5763392998588
Kota,1363.677683314796
Jhansi,1385.7980844881756
Bareilly,1713.2323684652736
Aligarh,1652.9267156546373
Bhiwandi,850.0796800027493
Jammu,2203.7921744421833
Moradabad,1761.7082149102514
Mangalore,294.1705663428285
Kolhapur,547.2761162567762
Amravati,883.4317409947835
Dehra Dun,1921.9014146562545
Malegaon,900.0753753997724
Nellore,309.08245755900356
Gorakhpur,1642.0910332314234
Shimoga,241.22924653354445
Tiruppur,210.52733392131913
Raurkela,1282.241477512049
Nanded,686.6571289711114
Belgaum,459.45750762843977
Sangli,537.0270571360759
Chanda,796.5892157355705
